,三義,二林,南投,埔里,大里,忠明,沙鹿,竹山,線西,苗栗,西屯,豐原
2022-01-01-00,13,14,19,25,17,19,16,31,15,13,16,17
2022-01-01-01,12,14,20,27,19,27,17,32,15,16,18,20
2022-01-01-02,13,14,21,27,22,31,18,32,15,20,22,22
2022-01-01-03,12,14,22,27,24,30,17,32,16,21,23,24
2022-01-01-04,11,14,22,29,25,29,16,31,17,21,21,24
2022-01-01-05,11,14,23,28,27,22,15,31,17,20,19,22
2022-01-01-06,10,14,24,29,28,19,14,30,17,17,16,21
2022-01-01-07,10,15,25,30,27,19,14,30,16,17,16,21
2022-01-01-08,10,14,27,29,25,19,14,30,15,16,16,21
2022-01-01-09,9,15,28,29,24,19,13,31,14,16,17,21
2022-01-01-10,9,14,28,30,22,19,12,31,14,16,16,19
2022-01-01-11,8,14,27,30,21,18,12,31,15,16,15,17
2022-01-01-12,8,14,23,28,19,16,12,29,15,16,14,15
2022-01-01-13,8,14,20,25,17,12,12,25,15,15,13,13
2022-01-01-14,7,13,16,21,15,10,11,22,14,15,12,12
2022-01-01-15,7,37,13,18,13,9,10,18,14,15,10,11
2022-01-01-16,7,38,12,16,11,9,12,15,13,15,10,10
2022-01-01-17,8,41,12,14,9,10,13,14,13,15,11,9
2022-01-01-18,11,44,13,14,10,12,13,14,13,15,13,9
2022-01-01-19,13,25,13,14,13,12,13,15,12,15,15,12
2022-01-01-20,16,25,15,14,15,12,12,17,12,14,16,14
2022-01-01-21,16,22,16,15,15,13,12,18,11,13,17,16
2022-01-01-22,16,19,16,16,16,14,13,19,12,13,17,17
2022-01-01-23,16,21,17,15,16,15,15,18,12,12,18,17
2022-01-02-00,15,22,18,16,17,17,17,18,13,12,18,17
2022-01-02-01,14,23,20,17,18,17,17,17,13,11,18,14
2022-01-02-02,14,24,20,17,19,17,17,17,14,12,19,13
2022-01-02-03,14,17,20,16,19,16,16,17,13,11,19,12
2022-01-02-04,14,15,20,16,20,16,14,17,13,11,18,11
2022-01-02-05,14,14,19,17,20,15,13,17,12,11,17,11
2022-01-02-06,12,13,19,18,20,13,12,16,10,11,16,11
2022-01-02-07,10,12,19,17,20,13,12,15,10,10,15,10
2022-01-02-08,8,12,18,19,21,13,12,15,11,10,13,9
2022-01-02-09,7,14,17,19,21,13,12,14,11,10,11,9
2022-01-02-10,7,19,15,17,21,12,12,13,11,10,11,9
2022-01-02-11,7,19,15,15,19,11,12,13,11,10,11,7
2022-01-02-12,7,19,14,12,17,10,11,12,12,9,10,7
2022-01-02-13,7,18,13,11,15,9,11,12,13,9,9,7
2022-01-02-14,7,15,11,10,13,9,11,12,14,9,9,6
2022-01-02-15,7,16,11,9,12,9,11,13,15,10,9,7
2022-01-02-16,8,17,10,9,12,10,13,16,16,11,10,7
2022-01-02-17,8,18,11,10,13,12,15,19,16,11,11,8
2022-01-02-18,9,20,12,11,14,14,17,24,17,12,12,8
2022-01-02-19,10,21,14,13,16,16,18,28,18,12,13,9
2022-01-02-20,11,21,16,13,16,18,18,31,18,13,13,9
2022-01-02-21,12,21,17,15,16,18,19,32,18,13,15,10
2022-01-02-22,13,20,18,16,16,19,19,32,18,15,14,11
2022-01-02-23,13,20,17,15,16,18,18,30,19,15,14,12
2022-01-03-00,13,20,19,16,17,17,19,29,19,16,15,12
2022-01-03-01,12,21,21,16,17,18,19,28,19,18,15,12
2022-01-03-02,11,22,22,16,18,18,19,28,20,18,14,12
2022-01-03-03,13,23,22,17,18,18,21,28,21,18,15,11
2022-01-03-04,14,23,22,17,18,19,22,28,23,18,17,11
2022-01-03-05,16,25,22,16,18,19,23,27,24,20,19,11
2022-01-03-06,18,26,22,16,19,19,24,26,25,22,20,11
2022-01-03-07,18,27,23,15,21,19,24,25,26,24,20,12
2022-01-03-08,19,29,23,16,23,19,24,25,27,25,21,13
2022-01-03-09,19,31,24,16,28,20,24,24,27,26,21,13
2022-01-03-10,19,32,24,17,30,21,24,25,28,24,21,12
2022-01-03-11,19,32,24,17,28,21,24,24,28,24,21,12
2022-01-03-12,18,33,24,15,27,21,25,23,29,24,21,12
2022-01-03-13,19,34,20,13,22,20,27,21,30,24,21,12
2022-01-03-14,20,35,18,12,20,20,28,20,31,24,23,13
2022-01-03-15,21,35,18,12,21,21,29,21,32,25,25,14
2022-01-03-16,23,35,17,13,21,23,27,21,33,26,26,15
2022-01-03-17,24,35,18,14,24,25,27,23,31,26,27,16
2022-01-03-18,25,35,22,17,26,26,27,26,30,27,28,19
2022-01-03-19,25,37,26,20,27,28,29,30,29,27,30,23
2022-01-03-20,26,36,29,22,29,29,29,33,28,27,31,25
2022-01-03-21,27,35,30,24,29,30,30,35,28,28,31,25
2022-01-03-22,28,35,31,23,31,31,31,34,28,28,32,24
2022-01-03-23,27,33,32,23,33,32,31,33,28,28,33,23
2022-01-04-00,27,34,33,22,36,33,30,34,28,29,33,21
2022-01-04-01,25,34,33,21,38,33,29,33,30,29,33,20
2022-01-04-02,24,32,34,20,38,32,28,31,29,29,32,19
2022-01-04-03,23,32,33,19,38,31,25,30,26,28,30,18
2022-01-04-04,22,30,33,18,38,30,23,27,25,27,28,16
2022-01-04-05,21,29,33,18,38,28,22,25,23,25,27,14
2022-01-04-06,18,29,32,17,38,26,21,24,22,24,25,13
2022-01-04-07,17,27,31,16,38,25,20,21,22,23,24,11
2022-01-04-08,15,26,30,17,40,23,19,20,21,20,23,10
2022-01-04-09,14,23,31,17,44,21,16,21,19,19,20,10
2022-01-04-10,13,21,32,18,44,20,15,20,19,17,19,10
2022-01-04-11,12,21,32,18,42,18,13,22,19,15,18,10
2022-01-04-12,11,21,29,16,37,17,13,22,19,14,16,11
2022-01-04-13,10,21,24,14,29,16,13,23,19,13,16,11
2022-01-04-14,10,20,20,12,26,16,13,24,19,12,16,13
2022-01-04-15,9,19,20,12,24,15,14,24,19,11,17,14
2022-01-04-16,9,17,20,12,23,15,14,26,19,13,17,15
2022-01-04-17,12,16,20,13,24,16,14,28,19,15,16,16
2022-01-04-18,13,17,21,14,24,16,15,28,19,17,17,18
2022-01-04-19,13,16,24,18,23,17,14,30,18,18,18,19
2022-01-04-20,13,16,26,20,25,18,14,33,18,16,19,19
2022-01-04-21,14,17,26,21,23,20,15,33,18,15,21,19
2022-01-04-22,14,17,26,23,24,20,16,33,17,16,22,18
2022-01-04-23,14,18,26,22,25,22,17,33,16,16,22,17
2022-01-05-00,14,17,25,22,24,23,18,32,16,17,22,16
2022-01-05-01,14,17,27,23,25,22,18,33,17,18,21,17
2022-01-05-02,13,18,27,23,25,23,19,32,18,17,22,17
2022-01-05-03,12,19,27,22,25,23,20,31,20,16,22,15
2022-01-05-04,12,19,27,22,25,24,20,30,21,16,24,15
2022-01-05-05,11,21,26,21,25,25,21,28,21,15,26,15
2022-01-05-06,10,23,26,20,26,25,21,27,21,16,25,15
2022-01-05-07,10,26,25,20,27,25,21,27,20,16,26,16
2022-01-05-08,10,29,24,20,26,25,21,26,20,16,25,15
2022-01-05-09,10,32,24,21,29,26,21,26,21,17,24,14
2022-01-05-10,9,33,22,21,30,26,20,26,21,17,22,13
2022-01-05-11,10,33,22,22,31,25,21,26,22,18,21,13
2022-01-05-12,12,34,23,22,32,24,21,28,24,18,22,14
2022-01-05-13,13,35,26,20,30,24,21,28,24,17,23,18
2022-01-05-14,18,35,30,20,28,24,22,27,25,19,25,19
2022-01-05-15,20,36,32,19,30,26,22,26,25,20,27,23
2022-01-05-16,22,35,34,18,31,27,23,27,24,22,28,23
2022-01-05-17,25,30,33,18,32,27,25,31,25,24,29,23
2022-01-05-18,25,29,33,19,32,28,26,33,27,25,29,24
2022-01-05-19,26,30,33,22,31,29,28,39,27,26,29,23
2022-01-05-20,27,31,33,25,31,29,28,41,29,30,28,21
2022-01-05-21,26,32,34,28,29,28,26,42,29,32,24,19
2022-01-05-22,24,33,35,28,25,24,23,44,27,32,22,17
2022-01-05-23,21,30,35,28,21,21,19,43,24,31,18,14
2022-01-06-00,18,25,36,27,18,18,17,42,21,29,16,12
2022-01-06-01,16,22,36,27,20,16,16,41,20,25,15,11
2022-01-06-02,15,18,36,28,24,16,17,40,19,28,15,10
2022-01-06-03,15,20,36,28,26,15,18,38,21,29,16,9
2022-01-06-04,16,23,35,28,26,17,20,35,22,28,17,9
2022-01-06-05,15,25,34,27,26,17,20,34,22,27,18,9
2022-01-06-06,14,25,34,27,24,17,20,33,20,24,16,9
2022-01-06-07,14,23,32,27,23,16,18,31,19,23,15,9
2022-01-06-08,14,21,31,26,22,15,18,30,19,22,14,10
2022-01-06-09,14,20,29,26,22,14,19,27,20,21,14,10
2022-01-06-10,14,20,27,27,21,14,19,25,21,19,16,10
2022-01-06-11,14,20,26,25,20,15,19,24,21,17,16,11
2022-01-06-12,12,20,24,22,20,14,18,23,20,15,15,11
2022-01-06-13,11,19,22,19,18,14,16,23,20,14,13,10
2022-01-06-14,10,19,21,16,15,14,16,23,19,12,12,10
2022-01-06-15,10,18,19,15,14,13,15,24,18,10,12,9
2022-01-06-16,9,16,17,16,14,12,14,23,17,9,12,9
2022-01-06-17,9,15,16,17,13,10,13,23,15,9,11,9
2022-01-06-18,8,14,16,18,12,11,12,22,14,9,11,9
2022-01-06-19,8,14,15,18,11,11,11,20,13,8,11,9
2022-01-06-20,7,13,14,18,10,11,10,19,12,8,11,8
2022-01-06-21,6,12,13,17,10,11,10,18,12,8,10,8
2022-01-06-22,5,11,12,17,9,10,9,17,12,8,10,8
2022-01-06-23,4,10,12,16,8,9,9,17,11,8,9,7
2022-01-07-00,4,10,12,16,7,8,8,17,10,7,8,7
2022-01-07-01,4,10,11,16,6,7,8,16,9,7,8,6
2022-01-07-02,4,10,10,15,6,6,9,17,9,6,8,6
2022-01-07-03,4,10,10,14,5,6,9,17,9,6,7,5
2022-01-07-04,4,9,10,14,5,6,9,16,9,7,7,5
2022-01-07-05,4,9,10,14,5,7,8,15,10,8,7,5
2022-01-07-06,3,9,11,13,5,7,8,14,10,8,7,5
2022-01-07-07,4,10,11,12,5,7,8,13,11,8,7,5
2022-01-07-08,4,11,10,10,4,7,7,13,10,7,7,4
2022-01-07-09,5,10,10,9,4,7,8,13,10,7,7,4
2022-01-07-10,5,11,9,9,4,8,9,13,10,7,7,5
2022-01-07-11,5,11,9,8,5,9,8,12,10,7,7,5
2022-01-07-12,6,10,10,8,6,9,8,12,11,8,8,5
2022-01-07-13,6,11,10,8,6,9,8,12,11,8,8,6
2022-01-07-14,6,11,11,8,6,8,7,13,11,8,8,5
2022-01-07-15,6,12,10,8,7,9,7,13,12,8,9,5
2022-01-07-16,6,13,10,8,7,9,9,14,13,9,10,5
2022-01-07-17,6,15,10,8,7,10,10,14,15,10,10,6
2022-01-07-18,8,16,11,8,8,11,11,15,17,11,11,7
2022-01-07-19,9,16,12,9,9,11,12,16,17,12,12,8
2022-01-07-20,9,16,13,10,11,12,12,16,17,13,13,8
2022-01-07-21,10,16,14,10,11,13,12,17,17,13,13,9
2022-01-07-22,10,16,14,9,11,14,13,18,17,13,13,9
2022-01-07-23,10,16,14,9,10,14,13,18,16,13,14,9
2022-01-08-00,10,16,15,8,9,14,14,18,15,14,14,10
2022-01-08-01,10,17,15,8,9,14,14,18,15,14,14,10
2022-01-08-02,10,15,15,8,10,14,14,17,14,14,13,10
2022-01-08-03,10,15,16,8,11,14,13,19,14,14,13,9
2022-01-08-04,9,15,15,7,11,14,13,18,15,14,13,9
2022-01-08-05,9,14,16,7,11,15,12,19,14,13,13,8
2022-01-08-06,8,13,15,6,10,14,12,19,14,13,12,8
2022-01-08-07,7,13,14,6,10,14,12,17,13,12,11,9
2022-01-08-08,7,12,14,6,9,13,11,17,13,12,10,8
