,仁武,前金,前鎮,善化,大寮,安南,小港,屏東,左營,復興,恆春,新營,林園,楠梓,橋頭,潮州,美濃,臺南,鳳山
2022-10-01-00,18,18,13,20,17,17,16,14,13,16,4,17,15,13,15,16,14,16,15
2022-10-01-01,19,18,14,19,17,17,16,16,15,16,4,20,15,15,17,15,13,17,17
2022-10-01-02,19,20,15,18,17,19,16,17,16,18,3,20,15,16,16,14,14,18,18
2022-10-01-03,19,21,16,17,20,20,18,17,17,19,4,20,15,16,18,14,14,18,18
2022-10-01-04,19,22,16,16,22,22,18,18,18,19,5,21,13,16,20,13,14,18,19
2022-10-01-05,20,22,17,16,23,22,20,17,19,20,6,19,14,16,19,12,13,18,19
2022-10-01-06,21,22,18,16,24,21,21,17,18,20,6,19,14,17,20,12,13,18,19
2022-10-01-07,21,22,17,16,22,21,20,17,18,19,7,18,15,17,19,12,13,18,19
2022-10-01-08,22,22,18,18,22,22,20,17,18,20,7,17,16,19,19,12,13,18,20
2022-10-01-09,23,21,17,19,23,23,18,16,19,20,7,17,16,20,20,12,13,19,19
2022-10-01-10,22,21,17,18,21,23,17,16,23,19,7,16,16,19,19,12,14,20,17
2022-10-01-11,22,20,17,17,21,22,18,15,24,18,6,17,16,20,21,11,14,21,15
2022-10-01-12,21,20,17,16,22,20,20,15,23,17,6,16,17,20,22,12,13,21,15
2022-10-01-13,20,20,16,16,24,18,20,15,21,17,6,18,16,19,21,13,12,21,15
2022-10-01-14,21,19,17,18,24,18,19,17,18,18,6,20,17,20,22,15,12,19,15
2022-10-01-15,20,20,18,20,24,18,18,19,17,19,5,22,16,18,20,18,13,18,17
2022-10-01-16,19,19,18,20,22,17,17,20,18,20,4,23,17,17,19,19,14,17,18
2022-10-01-17,19,19,18,20,21,17,17,20,17,19,4,20,18,17,19,20,16,17,18
2022-10-01-18,20,19,17,20,21,16,17,19,17,19,4,18,22,17,17,21,19,18,19
2022-10-01-19,19,18,17,19,21,14,18,18,17,18,4,17,23,17,17,20,21,17,19
2022-10-01-20,18,17,17,18,21,14,18,17,16,18,4,16,23,17,17,22,22,17,18
2022-10-01-21,18,16,17,18,21,14,18,17,15,18,3,17,23,16,16,22,23,17,18
2022-10-01-22,16,16,16,17,21,14,19,17,13,17,3,17,19,15,16,21,23,18,18
2022-10-01-23,16,15,15,17,24,15,18,17,12,17,3,19,18,14,14,22,23,18,17
2022-10-02-00,15,15,14,17,26,16,17,19,12,16,3,20,17,13,14,21,23,17,17
2022-10-02-01,15,15,13,17,26,15,17,21,12,15,3,22,20,13,14,20,22,18,16
2022-10-02-02,16,14,14,18,28,16,19,21,12,16,3,22,21,14,15,20,22,20,17
2022-10-02-03,16,15,15,18,28,17,21,23,11,16,3,22,22,16,16,20,22,21,19
2022-10-02-04,20,14,15,18,28,19,23,24,12,17,3,21,23,19,18,21,23,22,21
2022-10-02-05,24,14,18,19,29,21,25,25,14,19,3,21,22,21,20,21,23,24,24
2022-10-02-06,26,16,21,17,29,23,26,25,16,22,4,21,21,23,22,22,23,25,26
2022-10-02-07,28,19,23,18,28,26,28,25,19,24,4,22,21,23,24,23,23,25,26
2022-10-02-08,28,21,26,19,31,27,30,24,20,26,4,23,22,25,26,22,22,25,25
2022-10-02-09,27,20,25,21,31,28,30,24,20,25,4,25,20,25,27,23,23,23,24
2022-10-02-10,26,19,22,24,29,28,31,24,18,24,4,29,21,24,28,23,23,23,23
2022-10-02-11,27,19,21,27,29,27,-999,24,20,22,3,33,22,25,29,23,23,24,23
2022-10-02-12,27,20,20,28,27,28,-999,24,19,21,2,36,24,22,28,24,23,25,22
2022-10-02-13,27,21,20,30,26,29,-999,23,20,21,2,36,23,23,28,25,22,27,24
2022-10-02-14,29,21,21,30,26,29,-999,23,20,21,2,35,21,24,28,27,22,27,25
2022-10-02-15,29,21,21,31,26,28,-999,24,21,21,2,32,20,27,28,29,23,26,26
2022-10-02-16,28,22,22,29,26,28,-999,26,22,22,1,30,18,27,27,29,22,24,27
2022-10-02-17,27,22,22,28,26,27,-999,27,20,22,1,27,18,25,26,28,23,22,26
2022-10-02-18,25,21,20,26,26,24,-999,27,20,21,1,25,20,23,23,26,23,21,25
2022-10-02-19,22,21,19,24,24,23,-999,25,18,20,1,23,19,19,23,25,25,20,22
2022-10-02-20,20,20,16,23,22,21,-999,23,17,19,1,23,19,18,22,25,25,19,20
2022-10-02-21,19,21,16,22,20,20,-999,21,17,18,1,21,19,18,20,25,26,19,19
2022-10-02-22,18,21,16,21,20,19,-999,21,16,18,1,21,18,18,20,25,26,18,18
2022-10-02-23,17,20,15,21,20,19,-999,22,15,17,1,21,17,16,19,25,24,18,18
2022-10-03-00,16,19,14,20,22,19,-999,23,15,16,1,21,17,17,19,24,24,18,17
2022-10-03-01,18,18,14,19,26,18,-999,25,14,17,2,22,17,18,20,24,24,18,19
2022-10-03-02,20,17,15,19,28,18,-999,26,14,18,2,22,18,18,23,23,23,19,21
2022-10-03-03,24,15,16,20,29,19,-999,27,13,19,2,22,20,19,25,24,23,20,21
2022-10-03-04,25,15,19,21,29,21,-999,28,13,21,1,23,22,21,26,25,24,20,23
2022-10-03-05,27,15,20,21,28,24,-999,28,16,22,1,24,22,23,27,26,24,21,22
2022-10-03-06,29,16,23,22,28,27,-999,28,18,24,1,25,23,25,27,26,25,22,24
2022-10-03-07,29,18,25,23,29,28,-999,27,22,26,2,26,24,28,27,26,24,23,25
2022-10-03-08,30,20,26,24,30,30,-999,28,25,28,3,27,26,30,27,26,24,25,25
2022-10-03-09,31,21,26,25,31,28,-999,27,26,29,4,26,27,30,28,26,25,26,25
2022-10-03-10,31,22,25,26,32,27,-999,25,26,26,5,26,26,29,27,25,25,25,25
2022-10-03-11,32,22,25,26,33,24,-999,25,26,25,5,26,24,28,28,24,24,25,26
2022-10-03-12,32,21,25,26,35,22,-999,24,24,24,5,27,22,28,29,23,23,24,26
2022-10-03-13,30,22,25,25,35,22,-999,26,22,23,4,26,22,27,27,23,22,23,25
2022-10-03-14,29,22,25,23,33,20,-999,28,19,24,4,27,22,25,26,25,21,21,25
2022-10-03-15,26,23,25,22,33,19,-999,28,20,24,4,26,22,24,24,26,21,19,22
2022-10-03-16,24,22,24,20,31,18,-999,28,22,22,6,25,21,21,22,25,21,18,21
2022-10-03-17,23,22,22,19,30,18,-999,25,20,22,8,25,19,19,20,24,21,18,20
2022-10-03-18,22,20,20,18,28,17,22,22,20,20,9,24,18,18,19,21,21,18,20
2022-10-03-19,20,20,19,18,27,17,20,19,18,19,9,23,16,17,19,19,20,17,20
2022-10-03-20,20,18,18,18,26,17,19,19,16,19,9,23,15,16,18,19,19,17,19
2022-10-03-21,19,18,16,18,24,18,17,18,15,17,9,22,14,16,18,18,18,16,19
2022-10-03-22,17,18,15,19,24,18,17,18,15,17,9,22,14,16,19,18,19,15,18
2022-10-03-23,17,17,15,18,22,17,17,18,14,17,10,22,14,16,21,17,19,14,17
2022-10-04-00,17,18,15,19,21,16,17,18,14,16,10,20,14,15,21,17,20,14,17
2022-10-04-01,16,18,14,18,21,15,16,18,13,15,10,20,14,14,21,16,20,13,16
2022-10-04-02,17,19,15,17,22,14,15,19,13,15,9,20,15,15,21,16,20,14,17
2022-10-04-03,17,19,14,17,22,14,17,21,14,15,9,18,15,15,21,15,19,13,17
2022-10-04-04,17,18,14,17,25,14,18,21,15,15,9,19,17,15,20,15,19,14,17
2022-10-04-05,18,19,15,18,25,14,18,22,16,16,9,18,18,16,21,16,19,13,18
2022-10-04-06,18,19,16,20,25,15,19,21,17,16,9,17,19,17,22,18,18,12,19
2022-10-04-07,19,19,16,20,25,15,19,21,16,16,8,18,21,18,22,19,19,12,18
2022-10-04-08,19,20,16,19,24,14,19,22,16,16,7,18,22,19,22,19,18,12,19
2022-10-04-09,18,20,17,17,23,14,19,21,16,17,7,17,23,18,21,19,17,12,19
2022-10-04-10,18,19,17,16,21,13,20,21,15,18,7,18,21,17,19,19,17,13,18
2022-10-04-11,17,18,17,15,21,12,20,20,15,19,6,16,20,16,18,18,15,12,18
2022-10-04-12,17,17,16,14,20,12,21,18,14,20,6,15,18,16,16,17,15,13,18
2022-10-04-13,16,16,15,14,19,11,20,19,14,20,5,15,17,15,16,17,16,13,17
2022-10-04-14,15,15,14,14,19,12,19,18,14,18,5,16,16,14,15,18,15,12,17
2022-10-04-15,15,15,13,14,18,11,17,18,13,16,4,16,15,13,14,18,15,13,17
2022-10-04-16,14,16,13,14,17,12,17,17,13,15,4,16,14,13,13,18,15,12,16
2022-10-04-17,14,15,12,15,17,13,18,17,13,15,4,16,14,13,13,18,14,13,15
2022-10-04-18,14,16,12,14,16,14,17,16,12,15,5,15,14,13,15,16,15,14,15
2022-10-04-19,14,15,11,15,17,15,16,16,13,17,5,16,14,13,15,17,15,13,16
2022-10-04-20,13,14,12,15,16,16,16,16,13,16,5,16,14,14,16,17,14,14,15
2022-10-04-21,13,14,11,16,16,17,15,16,13,16,5,17,14,14,15,17,15,15,16
2022-10-04-22,12,14,10,17,16,17,14,16,13,16,5,18,14,14,15,18,14,15,15
2022-10-04-23,12,14,9,17,17,17,15,17,12,15,5,18,13,13,16,19,16,15,16
2022-10-05-00,13,15,10,19,17,18,15,17,12,15,6,19,13,13,16,19,17,16,16
2022-10-05-01,13,15,10,20,18,18,16,17,11,15,6,20,11,13,17,20,16,17,15
2022-10-05-02,14,15,12,21,19,19,17,17,11,14,6,22,11,12,17,19,17,19,17
2022-10-05-03,15,16,14,21,18,19,17,16,11,16,7,22,11,12,18,19,17,20,16
2022-10-05-04,15,16,15,20,18,20,18,16,12,17,7,22,12,14,18,19,16,19,17
2022-10-05-05,16,17,15,20,19,21,18,17,12,17,8,22,13,16,18,18,17,19,18
2022-10-05-06,19,17,16,21,21,23,19,17,12,18,8,21,14,18,19,18,17,19,18
2022-10-05-07,23,18,16,21,23,24,20,17,14,18,7,22,15,19,20,18,17,21,19
2022-10-05-08,27,19,17,21,25,23,21,18,14,19,7,22,14,19,21,18,18,22,20
2022-10-05-09,29,20,18,21,24,24,23,18,16,19,7,23,14,19,22,18,19,23,20
