,二林,南投,埔里,大里,忠明,沙鹿,竹山,線西,西屯,豐原,C0,C10,C12,C13,C2,C3,C4,C5,C6,C7,C8,C9,站時數
2021-10-01,6,9,7,13,8,7,4,4,9,12,0,4,3,11,0,8,0,0,7,15,0,0,127
2021-10-02,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8
2021-10-03,0,4,0,2,0,0,4,1,0,0,0,0,0,6,0,4,0,0,0,2,0,0,23
2021-10-04,2,4,0,5,0,4,3,0,6,0,0,1,0,23,0,0,0,0,0,13,0,0,61
2021-10-05,15,0,5,5,8,11,0,13,7,13,3,10,4,12,0,15,5,7,8,20,0,5,166
2021-10-06,0,8,7,0,0,1,0,0,0,3,0,0,0,19,0,0,0,0,0,7,0,0,45
2021-10-07,1,2,5,2,0,0,0,0,1,0,0,0,0,11,0,0,0,0,2,6,0,0,30
2021-10-08,11,4,0,8,0,2,0,4,5,0,0,6,0,3,0,3,0,0,0,11,0,0,57
2021-10-09,24,24,4,24,17,9,5,12,18,21,12,2,6,24,0,14,9,9,11,19,0,0,264
2021-10-10,15,13,3,17,13,4,13,9,13,3,4,14,6,19,0,13,7,0,2,17,0,0,185
2021-10-11,0,2,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,15
2021-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
2021-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-20,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8
2021-10-21,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
2021-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
